,Zotu1,Zotu10,Zotu100,Zotu101,Zotu102,Zotu103,Zotu104,Zotu105,Zotu106,Zotu107,Zotu108,Zotu109,Zotu11,Zotu110,Zotu111,Zotu112,Zotu113,Zotu114,Zotu115,Zotu116,Zotu117,Zotu118,Zotu119,Zotu12,Zotu120,Zotu121,Zotu122,Zotu123,Zotu124,Zotu125,Zotu126,Zotu127,Zotu128,Zotu129,Zotu13,Zotu130,Zotu131,Zotu132,Zotu133,Zotu134,Zotu135,Zotu136,Zotu137,Zotu138,Zotu139,Zotu14,Zotu140,Zotu141,Zotu142,Zotu143,Zotu144,Zotu145,Zotu146,Zotu147,Zotu148,Zotu149,Zotu15,Zotu150,Zotu151,Zotu152,Zotu153,Zotu154,Zotu155,Zotu156,Zotu157,Zotu158,Zotu159,Zotu16,Zotu160,Zotu161,Zotu162,Zotu163,Zotu164,Zotu165,Zotu166,Zotu167,Zotu168,Zotu169,Zotu17,Zotu18,Zotu19,Zotu2,Zotu20,Zotu21,Zotu22,Zotu23,Zotu24,Zotu25,Zotu26,Zotu27,Zotu28,Zotu29,Zotu3,Zotu30,Zotu31,Zotu32,Zotu33,Zotu34,Zotu35,Zotu36,Zotu37,Zotu38,Zotu39,Zotu4,Zotu40,Zotu41,Zotu42,Zotu43,Zotu44,Zotu45,Zotu46,Zotu47,Zotu48,Zotu49,Zotu5,Zotu50,Zotu51,Zotu52,Zotu53,Zotu54,Zotu55,Zotu56,Zotu57,Zotu58,Zotu59,Zotu6,Zotu60,Zotu61,Zotu62,Zotu63,Zotu64,Zotu65,Zotu66,Zotu67,Zotu68,Zotu69,Zotu7,Zotu70,Zotu71,Zotu72,Zotu73,Zotu74,Zotu75,Zotu76,Zotu77,Zotu78,Zotu79,Zotu8,Zotu80,Zotu81,Zotu82,Zotu83,Zotu84,Zotu85,Zotu86,Zotu87,Zotu88,Zotu89,Zotu9,Zotu90,Zotu91,Zotu92,Zotu93,Zotu94,Zotu95,Zotu96,Zotu97,Zotu98,Zotu99
S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,19965,1892,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,0,0,11,0,0,71,27,0,707,0,0,2941,59,0,211,0,2333,0,0,0,719,0,0,0,0,279,665,0,0,0,0,212,617,242,0,0,0,335,0,0,0,0,0,0,65,0,0,0,0,0,11783,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,65
S13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0,0,11,0,0,0,0,0,0,13,13467,0,127,0,0,711,0,0,89,0,105,0,0,0,215,0,0,0,0,73,61,0,0,0,0,51,59,56,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,631,2968,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,73,0,0,0,0
S14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,23,939,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,11,0,0,0,0,0,0,10,0,0,100,226,0,1673,0,0,2652,0,0,129,0,748,0,0,0,716,0,0,0,0,1339,261,0,0,0,0,1032,272,1119,0,0,0,606,0,0,0,0,0,0,41,0,0,0,0,0,14086,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,11,0,0,0,0,0,0,0,32,0,14
S15,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,143,17923,0,728,0,0,558,76,0,96,0,416,0,0,0,1813,0,0,0,0,146,71,0,0,0,0,99,465,102,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,76,5890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
S3,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,19,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,15,0,83,0,0,21,0,0,0,0,0,0,0,0,70,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
S4,25393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,35,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,688,0,0,0,0,0,35,0,0,68,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,762,0,62,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,25,12,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,307,0,14,0,0,0,0,0,0,0,0,5846,0,0,0,0,0,0,0,0,0,19,0,0,0,36,36,182,0,0,0,0,0,14,20,130,0,0,0,13,1984,0,0,0,0,0,0,0,0,1122,0,49,0,0,0,0,0,0,60,0,0,0,0,0,0,451,0,0,0,1368,0,0,0,0,0,0,0,377,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9933,0,0,0,0,78,0,0,0,0,0
S6,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S7,52,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,43,0,4228,2993,0,0,0,0,0,0,0,484,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18478,0,0,0,0,0,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,264,1006,0,0,0,0,0,0,185,0,0,160,0,0,146,0,143,0,136,0,0,0,0,32,0,0,0,0,0,0,72,0,0,0
S9,0,0,0,0,0,29,0,0,0,0,14,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,14,0,0,0,0,0,0,0,0,52,0,0,0,0,12,0,266,160,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,442,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,27,0,0,0,0,0,0,0
